h_ownership,h_es,h_rating,h_mortality,h_soc,h_ra,h_pex,h_eoc,h_toc,h_imaging
Government - Hospital District or Authority,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
Voluntary non-profit - Other,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Church,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Government - Hospital District or Authority,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Church,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Proprietary,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Church,Yes,5,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Other,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Above the national average
Voluntary non-profit - Church,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Church,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Government - Local,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Church,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Church,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Proprietary,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Voluntary non-profit - Church,Yes,5,Above the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average
Voluntary non-profit - Church,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Voluntary non-profit - Other,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average
Voluntary non-profit - Other,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average
Voluntary non-profit - Other,No,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Voluntary non-profit - Other,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Church,Yes,5,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Above the national average
Government - Hospital District or Authority,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Voluntary non-profit - Church,Yes,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Church,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Proprietary,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Other,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Below the national average,Below the national average,Below the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Below the national average,Above the national average,Above the national average,Above the national average,Below the national average,Below the national average
Voluntary non-profit - Other,Yes,5,Above the national average,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average
Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Government - State,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Government - Hospital District or Authority,Yes,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
Voluntary non-profit - Private,Yes,5,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Government - Hospital District or Authority,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Proprietary,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Proprietary,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
