,h_type,h_ownership,h_es,h_ehr,h_rating,h_mortality,h_soc,h_ra,h_pex,h_eoc,h_toc,h_imaging
1,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
2,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Above the national average','Not Available','Above the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average'
3,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
4,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
5,'Acute Care Hospitals','Voluntary non-profit - Private',No,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Not Available','Not Available','Not Available'
6,'Acute Care Hospitals',Physician,Yes,Y,High Hospital Quality,'Not Available','Above the national average','Not Available','Above the national average','Same as the national average','Not Available','Not Available'
7,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Above the national average'
8,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Above the national average'
9,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
10,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Not Available','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Not Available'
11,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
12,'Acute Care Hospitals','Voluntary non-profit - Private',No,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Not Available','Below the national average'
13,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
14,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
15,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
16,'Acute Care Hospitals',Proprietary,No,Y,High Hospital Quality,'Not Available','Above the national average','Not Available','Above the national average','Same as the national average','Not Available','Not Available'
17,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
18,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
19,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
20,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
21,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Above the national average'
22,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Below the national average','Above the national average'
23,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Above the national average'
24,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
25,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
26,'Acute Care Hospitals','Government - Local',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
27,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
28,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
29,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Above the national average'
30,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average'
31,'Critical Access Hospitals','Government - Local',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Not Available','Same as the national average','Not Available'
32,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
33,'Acute Care Hospitals',Proprietary,No,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Not Available','Not Available'
34,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Below the national average'
35,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Above the national average','Below the national average','Same as the national average'
36,'Acute Care Hospitals','Voluntary non-profit - Private',No,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Not Available','Same as the national average'
37,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average'
