"","h_ownership","h_es","h_ehr","h_rating","h_mortality","h_soc","h_ra","h_pex","h_eoc","h_toc","h_imaging"
"1","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"2","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"3","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"4","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"5","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"6","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"7","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"8","Government - Hospital District or Authority","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"9","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"10","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"11","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"12","Voluntary non-profit - Church","Yes","Y","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"13","Voluntary non-profit - Other","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"14","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"15","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Below the national average","Above the national average"
"16","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"17","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"18","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
